close_date,order_number,driver_company,drop_status,otd,type_strike
2023-01-09,70549198_106501954542939,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-07,51769649_26644191487445,FSP AGILOG TRANSPORTES,CANCELLED,false,Cancelación
2023-02-04,51661145_28970815937247,MONTERREY,CANCELLED,true,Cancelación
2023-02-21,51094114_39383307495463,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-15,140394861_61899161652123,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-27,84946213_380918237595783,TRANSOASIS,CANCELLED,true,Cancelación
2023-03-30,41050047_541606327571014,TRANSOASIS,CANCELLED,true,Cancelación
2023-02-16,189271729_18740739471687,NaN,CANCELLED,true,Cancelación
2023-01-31,64843155_351317368501989,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-19,124349603_126159206742011,NaN,CANCELLED,false,Cancelación
2023-01-07,23367534_12830364173194,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-28,284481042_35525981685687,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-02-23,84108525_214893673200382,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-28,21007253_11338258622994,Neowise Logística LTDA,CANCELLED,false,Cancelación
2023-03-25,237905581_29264634243885,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-31,220791511_126711997521507,NOLI,COMPLETED,true,Cancelación
2022-12-22,21580039_10209246570545,NOLI,COMPLETED,true,Faltantes
2023-01-04,50985077_90003582821361,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-07,99900909_103036375400568,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-06-27,130326800_318017448947164,TRANSOASIS,COMPLETED,true,Faltantes
2023-03-10,288973786_39327378834657,INDEPENDIENTES,CANCELLED,false,Faltantes
2023-02-24,174215973_2472146796345,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-02-28,36556929_41260897591953,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-28,44238310_220346311218786,INDEPENDIENTES,COMPLETED,false,Faltantes
2023-04-28,27541331_21452101210029,TRANSOASIS,COMPLETED,true,Faltantes
2023-02-23,20040121_136506263678976,NOLI,COMPLETED,true,Faltantes
2023-02-27,138036565_259053084568125,NOLI,COMPLETED,true,Faltantes
